region_bld,clim,urt,inc_cl,mat,year,value
C-WEU-AUT,Zone_7A Very cold Humid,urb,q2,sub,2015,0.0
C-WEU-BEL,Zone_4A Mixed Humid,rur,q2,sub,2015,0.0
C-WEU-BEL,Zone_4A Mixed Humid,urb,q2,sub,2015,0.0
C-WEU-BEL,Zone_5A Cool Humid,rur,q2,sub,2015,0.0
C-WEU-BEL,Zone_5A Cool Humid,urb,q2,sub,2015,0.0
C-EEU-BGR,Zone_4A Mixed Humid,rur,q2,sub,2015,0.0
C-EEU-BGR,Zone_4A Mixed Humid,urb,q2,sub,2015,0.0
C-EEU-BGR,Zone_5A Cool Humid,rur,q2,sub,2015,0.0
C-EEU-BGR,Zone_5A Cool Humid,urb,q2,sub,2015,0.0
C-WEU-CYP,Zone_3A Warm Humid,rur,q2,sub,2015,0.0
C-WEU-CYP,Zone_3A Warm Humid,urb,q2,sub,2015,0.0
C-EEU-CZE,Zone_5A Cool Humid,rur,q2,sub,2015,0.0
C-EEU-CZE,Zone_5A Cool Humid,urb,q2,sub,2015,0.0
C-WEU-DEU,Zone_5A Cool Humid,rur,q2,sub,2015,0.0
C-WEU-DEU,Zone_5A Cool Humid,urb,q2,sub,2015,0.0
C-WEU-DEU,Zone_4A Mixed Humid,rur,q2,sub,2015,0.0
C-WEU-DEU,Zone_4A Mixed Humid,urb,q2,sub,2015,0.0
C-WEU-DEU,Zone_6A Cold Humid,rur,q2,sub,2015,0.0
C-WEU-DEU,Zone_6A Cold Humid,urb,q2,sub,2015,0.0
C-WEU-DNK,Zone_5A Cool Humid,rur,q2,sub,2015,0.0
C-WEU-DNK,Zone_5A Cool Humid,urb,q2,sub,2015,0.0
C-EEU-EST,Zone_6A Cold Humid,rur,q2,sub,2015,0.0
C-EEU-EST,Zone_6A Cold Humid,urb,q2,sub,2015,0.0
C-WEU-GRC,Zone_3A Warm Humid,rur,q2,sub,2015,0.0
C-WEU-GRC,Zone_3A Warm Humid,urb,q2,sub,2015,0.0
C-WEU-GRC,Zone_4A Mixed Humid,rur,q2,sub,2015,0.0
C-WEU-GRC,Zone_4A Mixed Humid,urb,q2,sub,2015,0.0
C-WEU-GRC,Zone_4C Mixed Marine,rur,q2,sub,2015,0.0
C-WEU-GRC,Zone_4C Mixed Marine,urb,q2,sub,2015,0.0
C-WEU-GRC,Zone_5C Cool Marine,rur,q2,sub,2015,0.0
C-WEU-GRC,Zone_5C Cool Marine,urb,q2,sub,2015,0.0
C-WEU-GRC,Zone_5A Cool Humid,rur,q2,sub,2015,0.0
C-WEU-GRC,Zone_5A Cool Humid,urb,q2,sub,2015,0.0
C-WEU-ESP,Zone_3C Warm Marine,rur,q2,sub,2015,0.0
C-WEU-ESP,Zone_3C Warm Marine,urb,q2,sub,2015,0.0
C-WEU-ESP,Zone_4C Mixed Marine,rur,q2,sub,2015,0.0
C-WEU-ESP,Zone_4C Mixed Marine,urb,q2,sub,2015,0.0
C-WEU-ESP,Zone_4A Mixed Humid,rur,q2,sub,2015,0.0
C-WEU-ESP,Zone_4A Mixed Humid,urb,q2,sub,2015,0.0
C-WEU-ESP,Zone_3A Warm Humid,rur,q2,sub,2015,0.0
C-WEU-ESP,Zone_3A Warm Humid,urb,q2,sub,2015,0.0
C-WEU-ESP,Zone_3B Warm Dry,rur,q2,sub,2015,0.0
C-WEU-ESP,Zone_3B Warm Dry,urb,q2,sub,2015,0.0
C-WEU-ESP,Zone_2B Hot Dry,rur,q2,sub,2015,0.0
C-WEU-ESP,Zone_2B Hot Dry,urb,q2,sub,2015,0.0
C-WEU-FIN,Zone_6A Cold Humid,rur,q2,sub,2015,0.0
C-WEU-FIN,Zone_6A Cold Humid,urb,q2,sub,2015,0.0
C-WEU-FIN,Zone_7A Very cold Humid,rur,q2,sub,2015,0.0
C-WEU-FIN,Zone_7A Very cold Humid,urb,q2,sub,2015,0.0
C-WEU-FRA,Zone_4A Mixed Humid,rur,q2,sub,2015,0.0
C-WEU-FRA,Zone_4A Mixed Humid,urb,q2,sub,2015,0.0
C-WEU-FRA,Zone_5A Cool Humid,rur,q2,sub,2015,0.0
C-WEU-FRA,Zone_5A Cool Humid,urb,q2,sub,2015,0.0
C-WEU-FRA,Zone_3A Warm Humid,rur,q2,sub,2015,0.0
C-WEU-FRA,Zone_3A Warm Humid,urb,q2,sub,2015,0.0
C-WEU-FRA,Zone_7A Very cold Humid,rur,q2,sub,2015,0.0
C-WEU-FRA,Zone_7A Very cold Humid,urb,q2,sub,2015,0.0
C-WEU-FRA,Zone_4C Mixed Marine,rur,q2,sub,2015,0.0
C-WEU-FRA,Zone_4C Mixed Marine,urb,q2,sub,2015,0.0
C-WEU-FRA,Zone_3C Warm Marine,rur,q2,sub,2015,0.0
C-WEU-FRA,Zone_3C Warm Marine,urb,q2,sub,2015,0.0
C-WEU-FRA,Zone_1A Very hot Humid,rur,q2,sub,2015,0.0
C-WEU-FRA,Zone_1A Very hot Humid,urb,q2,sub,2015,0.0
C-WEU-FRA,Zone_2A Hot Humid,rur,q2,sub,2015,0.0
C-WEU-FRA,Zone_2A Hot Humid,urb,q2,sub,2015,0.0
C-WEU-FRA,Zone_0A Extremely hot Humid,rur,q2,sub,2015,0.0
C-WEU-FRA,Zone_0A Extremely hot Humid,urb,q2,sub,2015,0.0
C-EEU-HRV,Zone_4A Mixed Humid,rur,q2,sub,2015,0.0
