region_bld,region_gea,region_nuts,urt,clim,mat,arch,yr_con,bld_age,value
C-EEU-BGR,EEU,C-EEU-BGR-BG313,urb,Zone_4A Mixed Humid,perm,mfh,1990,p2,0.044015267164557136
C-EEU-BGR,EEU,C-EEU-BGR-BG313,urb,Zone_4A Mixed Humid,perm,mfh,1995,p3,0.008677495262953002
C-EEU-BGR,EEU,C-EEU-BGR-BG313,urb,Zone_4A Mixed Humid,perm,mfh,2000,p3,0.016569310403605635
C-EEU-BGR,EEU,C-EEU-BGR-BG313,urb,Zone_4A Mixed Humid,perm,mfh,2005,p3,0.0052912903238760646
C-EEU-BGR,EEU,C-EEU-BGR-BG313,urb,Zone_4A Mixed Humid,perm,mfh,2010,p3,0.0060920352466875115
C-EEU-BGR,EEU,C-EEU-BGR-BG313,urb,Zone_4A Mixed Humid,perm,mfh,2015,p3,0.003167210060549604
C-EEU-BGR,EEU,C-EEU-BGR-BG313,urb,Zone_4A Mixed Humid,perm,mfh,2020,p3,0.006148113646949231
C-EEU-BGR,EEU,C-EEU-BGR-BG313,urb,Zone_4A Mixed Humid,perm,sfh,1945,p1,0.160875640428505
C-EEU-BGR,EEU,C-EEU-BGR-BG313,urb,Zone_4A Mixed Humid,perm,sfh,1960,p2,0.2892594317652538
C-EEU-BGR,EEU,C-EEU-BGR-BG313,urb,Zone_4A Mixed Humid,perm,sfh,1965,p2,0.1302592680914937
C-EEU-BGR,EEU,C-EEU-BGR-BG313,urb,Zone_4A Mixed Humid,perm,sfh,1970,p2,0.09162736834422161
C-EEU-BGR,EEU,C-EEU-BGR-BG313,urb,Zone_4A Mixed Humid,perm,sfh,1975,p2,0.08631794628614486
C-EEU-BGR,EEU,C-EEU-BGR-BG313,urb,Zone_4A Mixed Humid,perm,sfh,1980,p2,0.08143677731540112
C-EEU-BGR,EEU,C-EEU-BGR-BG313,urb,Zone_4A Mixed Humid,perm,sfh,1985,p2,0.07026284565980177
C-EEU-BGR,EEU,C-EEU-BGR-BG313,urb,Zone_4A Mixed Humid,perm,sfh,1990,p2,0.044015267164557136
C-EEU-BGR,EEU,C-EEU-BGR-BG313,urb,Zone_4A Mixed Humid,perm,sfh,1995,p3,0.008677495262953002
C-EEU-BGR,EEU,C-EEU-BGR-BG313,urb,Zone_4A Mixed Humid,perm,sfh,2000,p3,0.016569310403605635
C-EEU-BGR,EEU,C-EEU-BGR-BG313,urb,Zone_4A Mixed Humid,perm,sfh,2005,p3,0.005291290225603602
C-EEU-BGR,EEU,C-EEU-BGR-BG313,urb,Zone_4A Mixed Humid,perm,sfh,2010,p3,0.006092035344959975
C-EEU-BGR,EEU,C-EEU-BGR-BG313,urb,Zone_4A Mixed Humid,perm,sfh,2015,p3,0.003167210060549604
C-EEU-BGR,EEU,C-EEU-BGR-BG313,urb,Zone_4A Mixed Humid,perm,sfh,2020,p3,0.006148113646949231
C-EEU-BGR,EEU,C-EEU-BGR-BG314,rur,Zone_4A Mixed Humid,perm,mfh,1945,p1,0.1740052633646255
C-EEU-BGR,EEU,C-EEU-BGR-BG314,rur,Zone_4A Mixed Humid,perm,mfh,1960,p2,0.3084763737774461
C-EEU-BGR,EEU,C-EEU-BGR-BG314,rur,Zone_4A Mixed Humid,perm,mfh,1965,p2,0.09474769928327108
C-EEU-BGR,EEU,C-EEU-BGR-BG314,rur,Zone_4A Mixed Humid,perm,mfh,1970,p2,0.06664771320454506
C-EEU-BGR,EEU,C-EEU-BGR-BG314,rur,Zone_4A Mixed Humid,perm,mfh,1975,p2,0.06278575749193292
C-EEU-BGR,EEU,C-EEU-BGR-BG314,rur,Zone_4A Mixed Humid,perm,mfh,1980,p2,0.05923530356595187
C-EEU-BGR,EEU,C-EEU-BGR-BG314,rur,Zone_4A Mixed Humid,perm,mfh,1985,p2,0.09007943272772165
C-EEU-BGR,EEU,C-EEU-BGR-BG314,rur,Zone_4A Mixed Humid,perm,mfh,1990,p2,0.05642911641722433
C-EEU-BGR,EEU,C-EEU-BGR-BG314,rur,Zone_4A Mixed Humid,perm,mfh,1995,p3,0.01112485330538637
C-EEU-BGR,EEU,C-EEU-BGR-BG314,rur,Zone_4A Mixed Humid,perm,mfh,2000,p3,0.021242437134883087
C-EEU-BGR,EEU,C-EEU-BGR-BG314,rur,Zone_4A Mixed Humid,perm,mfh,2005,p3,0.014031204837032714
C-EEU-BGR,EEU,C-EEU-BGR-BG314,rur,Zone_4A Mixed Humid,perm,mfh,2010,p3,0.016154584078478498
C-EEU-BGR,EEU,C-EEU-BGR-BG314,rur,Zone_4A Mixed Humid,perm,mfh,2015,p3,0.010389253309242312
C-EEU-BGR,EEU,C-EEU-BGR-BG314,rur,Zone_4A Mixed Humid,perm,mfh,2020,p3,0.014651007502258534
C-EEU-BGR,EEU,C-EEU-BGR-BG314,rur,Zone_4A Mixed Humid,perm,sfh,1945,p1,0.1740052633646255
